uid,post_body_text,primary_product,petrochemical_product,ff_infrastructure_OR_production,green_message,renewable_energy,emissions_reduction,false_solutions,recycling,green,brown,misc
tqD8M-dnbVk,"The racetrack has always been the testing ground for innovation, and that's especially true with a new breed of racing. Formula E ...",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dR8ohjROlok,"To celebrate another year of energy innovation, take a look at the iconic and high-energy celebration at Times Square. Read more ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
EFPSCA0aubg,Learn how a pipeline is constructed. Subscribe now: https://www.youtube.com/user/exxonmobil?sub_confirmation=1 There is ...,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
iUjyo1Guk7o,We sat down with four women in leadership roles across ExxonMobil to ask them to share their insights and advice.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Jew_YR3KEKw,Apply here and boost your IT career with ExxonMobil Buenos Aires ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
wsv_g4NVVQg,Exciting career opportunities with EMIT at ExxonMobil Canada. Get to know more about us through virtual information session and ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
RBVT7o1qYrs,"Millard, whose farm is crossed by a pipeline operated by ExxonMobil Pipeline Company, comments on the company's ...",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CVYXgijDl68,Denise talks about her experience creating the Baytown Nature Center with ExxonMobil Pipeline.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
rR66_W7Tof0,"Looking for a career in energy? The possibilities are endless. Whether you're interested in marine integrity or safety, ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SQZ7Djq5PmU,Julie Barnes shares how she uses Flex Your Day to maximize time with her family and friends over the holidays.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
qYTSp3JOOBg,"Lifesaving training comes in many forms, including virtual reality training simulations. Take a trip to ExxonMobil's Digital Garage ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WDfKjjR0pwk,"To mark the 50th anniversary of the Gippsland Basin Joint Venture, we are highlighting how our local business has helped power ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
UIDjYETBVVQ,"Jing Ning, XTO operations engineer, was expecting a very different work culture in the Permian Basin. Find out what she loves ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dSUBYGkvbEA,"In this unscripted version, see if you can identify the different steps in the process of generating electricity – then watch the ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
vZdAShbHMHI,"Algae could be the future of biofuel, powering technology and energy access across the globe. Subscribe now: ...",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
C4gZo7Ys8MY,"Inspired by a landfill gas collection system that we built to help power one of our Louisiana facilities, watch a tiny pile of biomass ...",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
liUaosEeFPw,"In this unscripted version, see if you can identify the different steps in the process of turning algae into biofuels – then watch the ...",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
0ytOnwTqwF0,Power plants don't just run on coal anymore. Learn how natural gas can be used to create cleaner energy. Subscribe now: ...,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
8NqJIueEBSY,Why do we need carbon capture and storage? Because CCS will be a key technology in managing the risks of climate change.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
hUZI35ovFwc,Tracy Lattimer shares how she uses Flex Your Day to follow her passion and coach youth soccer players.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
0KMwzZiBCE4,Ever wonder what life is like on one of the world's largest offshore platforms? Find out here.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
puV5NXtwnx0,"In 2018, the European Technology Centre (ETC) – ExxonMobil's research and development (R&D) hub for the EMEA region ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ekED_lSKpWo,ExxonMobil's delegates to the 2018 Women's Forum for the Economy and Society in Paris tell us why it's such an important global ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29Us8_Fl2i4,"From petri dish to pond to potential biofuel, watch how we are continuing our algae research in Calipatria, CA with Viridos, Inc.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
4IkOwczEpxU,This new digital project will leverage data from refineries and chemical plants around the world to more efficiently produce the ...,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PCGeQdZpO6A,Ever wondered what's it like working on an offshore rig? Tune into this video to discover what happens every day on an offshore ...,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
HGN-uJXsX7E,Join us for this season of giving as we celebrate employees who are helping their local communities flourish.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PMaxhSbRI1U,Check out how students in the Ohio Valley immerse themselves in the industry around them through their curricula.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
poE0cPZXmJE,See why we're investing over $1 billion to expand our facilities in Rotterdam.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
0ZtEkbYRe6o,Who would have guessed that an energy company would be helping drivers pump less? ExxonMobil is using efficiency to help ...,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
hJgVLrIcqSI,"Natural gas is fueling the future. This was a major focus at the recent World Gas Conference in Washington, D.C., as rising global ...",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
n64JhAJDQWk,"One challenge with wind power is how to maintain, or access, the turbines generating the electricity. The truth is that a lot of wind ...",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
XKYBnxoKdDM,"The world faces a dual energy challenge: how to supply growing energy needs around the globe, while at the same time, ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dAL3sD3TkZs,"Ah, good ole Roy G. Biv, the mnemonic device that helped us learn the colors of the light spectrum – the visible parts of it, anyway.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Y4i6qTuygXw,"The everyday commuting conditions during rush hour can be taxing when you're late for work. But, under the hood, those ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-GI3HO-9SF0,Myra describes her job as a subject matter expert on the product data management team.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
vfbiYR3JYAY,Richard Gatip describes his job as a student IT hire.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
z25SrsBJz88,"On Chongming Island, at the mouth of the mighty Yangtze River, dozens of wind turbines generate electricity for Shanghai and the ...",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
mUk4xPjwTpM,"South by Southwest is one of the world's largest creative gatherings, widely known for its celebration of breakthroughs in ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gO0x1oyB_c8,The goal for the future is to create a viable resource that could one day help meet the world's energy needs. Editor's Note: As of ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SoMS_DexPOM,"It's the everyday moments that can easily go from simple to complex, good to bad or economical to expensive — simply due to tire ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1435241238224064513,Certified natural gas is in our future. We’ve entered into an agreement with @MiQ_Org for third-party certification of natural gas produced at our NM facility. See what technologies we utilize to efficiently monitor leaks to reduce methane emissions. https://t.co/DUf9nurwMe https://t.co/NpVQCaWX1q,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
1415386999557611526,"We’re joining @airliquidegroup , @BorealisGroup, @TotalEnergies and @YARA_france to help decarbonize the industrial area in Normandy, France and explore development of a CO2 infrastructure, including capture and storage. Together, we can make a difference. https://t.co/f9eWpyyZ11 https://t.co/wv6o6I2Mdk",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1384478664910381056,"How can carbon capture and storage be deployed broadly to help reduce U.S. emissions more quickly? Our Low Carbon Solutions president, Joe Blommaert, discusses why a CCS Innovation Zone concept could be a game changer for reducing U.S. emissions. https://t.co/rzMgVDsBwu https://t.co/RXxIvzcxhG",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1367154744700121091,"Our CEO, Darren Woods, spoke at #CERAWeek about the future of oil and natural gas and ExxonMobil’s commitment to providing the energy that is essential to improving lives around the world, while managing the risks of climate change. https://t.co/J5jz8RXLAY",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
1346526004223877126,We support the ambition to achieve net-zero emissions by 2050 and the goals of the Paris Agreement. Our newly released Energy &amp; Carbon Summary outlines efforts to develop energy solutions that power modern life and progress toward a lower-carbon future. https://t.co/ck1pggT7Hb https://t.co/sc5T6VT91h,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1293220001957269505,"Learn about our new agreement with Global Clean Energy, which could help fuel transportation with fewer emissions. https://t.co/rSlK3cSqeo https://t.co/ffsXsGqq79",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1291747900138168320,See how our products play a critical role during medical emergencies. https://t.co/ZU8yRzFjkt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1286638834084655106,New discovery. New material. New technology. We’re researching a promising advancement in capturing industrial CO2 emissions. @UCBerkeley @UCB_Chemistry Learn more: https://t.co/0qNG0PGlT1 https://t.co/gicWRmHxss,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1284099231540748288,Great breakthrough research with @imperialcollege and @GeorgiaTech published in today’s @ScienceMagazine. New membrane technology could lead to reduced emissions and lower the energy intensity required to refine crude oil. Learn more: https://t.co/FX3HMHQRt0 https://t.co/F9lJsTovTa,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
1250819621617315841,"We’ve teamed up with the TX Restaurant Relief Fund to provide 6,000 meals to those on the Houston-area frontlines: https://t.co/6StLRuzYI8 #FeedTheHeroes #TXRestaurantReliefFund #COVID19 #AmericaWorksTogether https://t.co/YOOkYTfxuU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1243912771605073921,"We’re fighting the coronavirus by supplying isopropyl alcohol, one of the main ingredients in medical hand sanitizer, to some of the hardest-hit areas. https://t.co/eiAQt8y01v https://t.co/4xJDHhrjpF",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1206974220233838592,"Curious what the energy future has in store? Tap to pause for a peek into the year 2040, straight from our Energy Outlook. https://t.co/GcCuWwtFbz https://t.co/5emMlN51yl",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1161652489667698689,What helps one car win the race? Find out through the eyes of a 9-year-old who’s eager to learn how oil helps cars go fast: https://t.co/HQSZ64LvrW https://t.co/RV3nLdcY5v,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1069983378169053185,Why is this tiny organism a big deal to the energy world? Join us in the algae lab and find out why. https://t.co/jTE8scmgqd https://t.co/WpdResDcKQ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1042777173139116033,"Today we announced our plans to join the Oil and Gas Climate Initiative, a voluntary initiative representing 13 of the world’s largest oil and gas producers working collaboratively toward solutions to mitigate the risks of #climatechange. @OGCINews https://t.co/n2ArwkJV9o https://t.co/cASGDUMHGf",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
986266579540246529,Diesel fuel refined from algae oils could transform how we power everything from trucks to jet planes. That’s why we continue working with @SynGenomeInc to turn algae into a potential biofuel of the future. #TechTuesday #UnexpectedEnergy https://t.co/R02x8y6Ufc,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
971102244224536576,"After successfully doubling the energy-rich fat in algae, #ExxonMobil &amp; @SynGenomeInc start a new phase of research. We’ll study the effects of weather, sun &amp; more on natural algae strains outdoors. One step closer to a potential fuel of the future. #AmazingAlgae https://t.co/8n5oneHBWH",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
971035127450165250,"ExxonMobil and @SynGenomeInc biofuels program targets 10,000 barrels per day by 2025 https://t.co/048Mm9XAsc https://t.co/94UmhMQHg3",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
960942049041309696,#DYK over the next two decades the demand for natural gas is expected to see a greater increase than any energy type? Learn why in our #OutlookForEnergy. https://t.co/YSX8BYq9kp https://t.co/bsdPsrN5TR,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
959519079647404032,Today we released our Energy &amp; Carbon Summary: Positioning for a Lower-Carbon Future and Outlook for Energy: A View to 2040. https://t.co/WcoN1ekpxw https://t.co/KQwKEGyptV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
936642573111824384,"Our Longford facility runs 24/7, producing 35,000 barrels of oil daily and more than 8 trillion cubic feet of gas to date. #FacilitySpotlight https://t.co/aaOXSI4ObU",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
935543862323548160,"Giving back is one of our core values. Last year, we contributed more than $200 million in cash, goods and services to communities worldwide. #GivingTuesday https://t.co/AKq5s53X4v",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
932665483182166017,We’re always thankful for our dedicated employees who work 24/7 to help us operate safely around the world. https://t.co/25NFZPCwH3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
895660373201698817,#DYK that thousands of medical devices people use every day are made using oil and natural gas? https://t.co/at6iFopgkO,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
878251364073312262,It’s International Women in Engineering Day! Share with a woman engineer (or student) who inspires you #INWED17 https://t.co/zqckSxWe81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
_e-8HXNoI_A,ExxonMobil is cultivating algae to create innovative biofuels. Watch now. Subscribe now: ...,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
ojukOxTenOg,"Come take a virtual tour of the world-famous ExxonMobil Technology Center. For nearly 50 years, it's been an epicenter of ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
U_17C73UGa4,"Learn more about how we're working to reduce emissions.
  
 

  Subscribe now: https://www.youtube.com/user/exxonmobil?sub_confirmation=1
  
 

  Renewable diesel is an innovative alternative fuel that can lower emissions across the transportation sector. 
  
 

  Learn more about the future of transportation fuels: 
  https://energyfactor.exxonmobil.com/reducing-emissions/alternative-fuels/the-future-of-transportation-fuels/
  
 

  Explore more about transportation growth: 
  https://energyfactor.exxonmobil.com/insights/focus/road-to-2040/
  
 

  Discover more about our renewable diesel facility in Canada:https://energyfactor.exxonmobil.com/reducing-emissions/alternative-fuels/renewable-diesel-strathcona-canada/
  
 

  Follow ExxonMobil for the latest updates on natural gas, emissions reduction and more:
  LinkedIn: https://www.linkedin.com/company/exxonmobil/
  Twitter: https://twitter.com/exxonmobil
  Instagram: https://www.instagram.com/exxonmobil/
  Facebook: https://www.facebook.com/ExxonMobil/",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2Jr9fm0ezjQ,"ExxonMobil successfully delivered the first cargo of certified Sustainable Aviation Fuel (SAF) to Changi Airport as part of a one-year pilot launched by the Civil Aviation Authority of Singapore, Singapore Airlines and Temasek. The SAF is manufactured by blending ExxonMobil-produced refined jet fuel with the Neste-produced neat SAF at ExxonMobil facilities in Singapore.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
1557034061721284609,Reaching our #netzero ambition by 2050 will take a comprehensive approach. We’re developing a roadmap to get us there using GHG-reduction technology and methane mitigation. Read our 2022 Progress Report to learn more ↴ https://t.co/DyoNaYBipp,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
915835692285380,How big of an impact does oil and natural gas have on California’s economy? Take the quiz today!,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
365156001707524,Support affordable energy and consumer choice in New Jersey! Sign the pledge today.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
495576358850100,Affordable energy depends on American oil and gas production. What’s most important to you? Tell us today!,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
494714642012744,Help protect American jobs and affordable energy by standing up for critical infrastructure. Take action to support pipelines now!,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
944822369572326,A ban on natural gas could limit consumer choice and potentially increase energy costs across the state.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
328806959259214,Supporting local oil and gas provides local jobs. Learn how American oil and gas benefit your community!,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4869670529766890,The oil and gas industry supports millions of jobs across the nation. But unnecessary regulations can stand in the way. Sign the petition and support local jobs!,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1621766901507337,The oil and gas industry is THE engine that powers America’s economy. Help us make sure unnecessary regulations don’t slow energy growth!,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
633005064440467,We want to hear from you! Take the Exxchange survey today and tell us what energy issues you care about.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
332696991931888,Oil and natural gas are creating new opportunities for California workers. Will you sign the pledge to support a strong economy?,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3602266249897925,"Without oil and natural gas, Illinois’ economic recovery could lag behind. Sign the pledge. Show your support for local energy jobs TODAY!",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1067724283793777,How big of an impact does oil and natural gas have on Illinois’ economy? Take the quiz today!,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
748827946160449,"Get the latest energy news and developments affecting Asia Pacific and the rest of the world, with the Energy Factor Exxchange newsletter. Learn more about Energy Factor Asia Pacific: <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fexxonmobil.co%2Fin-fb&amp;h=AT3I1F4H56IPVrp-_BH_fdfJLVaoBSuPPjiiqwoice4q4iUqzc1RSht2wizEax5Rg5AierGrTtkcmq8ue6VomrnkgppPR2Us3uaPLv2i2l2G6zIOHlZQxQRsX4dpIsrSu5NpUmtMbkZgTw"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">exxonmobil.co/in-fb</a>",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1234068870762729,"Get the latest energy news and developments affecting Asia Pacific and the rest of the world, with the Energy Factor Exxchange newsletter. Learn more about Energy Factor Asia Pacific: <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fexxonmobil.co%2Fin-fb&amp;h=AT3PT6GHFEUDv77_eoD9y0wfLVGLljT-8X2aRBASTPBH0m15_pDi_U2e37W_y5yvs45Yz5RNnGMTGAEwbJ8dUUxS_IYAyEPsvxmUzCMQatmbrsQra8YZVrnoBu56TFMTI0gP9K7Vhky_Bg"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">exxonmobil.co/in-fb</a>",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
925007000949719_5277316502385392,"Hydrogen—a condensed history: 🗓 1671: Humans discover this abundant element 🗓 1900: The first hydrogen-filled airship launches 🗓 1943: Liquid hydrogen is tested as rocket fuel 🗓 2016: Hydrogen fuel cell car launches 2022 and beyond? Using #carboncapture and our expertise to help produce hydrogen at greater scale At our Baytown, Texas, plant we’re planning to build a facility that would produce blue hydrogen by breaking down natural gas into CO2 and H2. When we store the CO2 deep underground, we are left with H2 as a low-emission fuel for future use. It’s one of the ways we’re advancing climate solutions. #energytransition",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1557373796348317696,"Hydrogen: 
  🌍Three-quarters of the universe’s mass
  🆕 A long history of discovery and innovation
  ⛽ And a promising future as a practical, low-emission fuel source 
  See how hydrogen got here and where it’s going.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
430095385751910,CCS could be a game-changer. Discover how it can help reduce emissions while meeting our rising demand for energy.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
7641977552539564,"Make your voice heard today and help protect up to 1 million jobs across our country. 
  
 

  Tell Your Senators to say “NO” to Tax Hikes on American Manufacturers!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5588658501167980,"Make your voice heard and help protect up to 1 million jobs across our country. 
  
 

  Tell The Senate: Don’t raise taxes on American manufacturers!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1567196147327934465,"Meet Natalie Martinez, one of our materials engineers who’s doing some groundbreaking work in advanced recycling. Read her story to learn more. https://t.co/nm656pkKFM",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
